"plot"	"nitrogen"	"omega"	"theta"	"feasability"	"differential"	"min.distance"
"1"	1	0	1.574343964	66.758789	0	0.03	-0.0762780060744343
"2"	1	1	0.113	23.4101402	0	-0.021	-0.00516496971330743
"3"	2	0	0.455134639	53.355307	0	-0.059	-0.151349875732293
"4"	2	1	0.309	8.0481663	1	0.23	0.107824155018805
"5"	3	0	1.287304488	45.270817	1	0.47	0.226198858148838
"6"	3	1	0.186822255	12.747297	0	-0.041	-0.0299751410031249
"7"	4	0	0.911626462	57.807959	0	-0.297	-0.223727873566286
"8"	4	1	0.00381	24.084607	0	-0.055	-0.408576912508196
"9"	5	0	1.290413114	16.057988	1	0.204	0.384481694191563
"10"	5	1	0.269244077	12.412209	1	0.001	0.150923745937032
"11"	6	0	0.944449413	37.739239	0	0.371	-0.0515020900808634
"12"	6	1	0.0184	11.543891	0	-0.023	-0.128994327711763
"13"	7	0	0.019971806	35.4361	0	-0.009	-0.131328947628277
"14"	7	1	0.259	37.404961	0	0.019	-0.156705462422286
"15"	8	0	0.542835896	23.442945	1	0.116	0.166599471319982
"16"	8	1	0.0507	21.072889	0	-0.052	-0.0639529412063051
"17"	9	0	0.387755218	9.712847	1	-0.08	0.0970449116062275
"18"	9	1	0.533755187	21.473114	1	-0.142	0.10769534773174
"19"	10	0	0.955515582	25.213471	1	0.315	0.159688186610199
"20"	10	1	0.533612238	5.474954	1	0.334	0.279950102268787
"21"	11	0	0.610056447	44.429463	0	-0.053	-0.155462586546296
"22"	11	1	0.0655	4.076319	1	0.068	0.054632930541947
"23"	12	0	0.476845425	24.396287	0	0.035	-0.0865954329958143
"24"	12	1	0.473722598	14.085337	1	0.069	0.254643535868131
"25"	13	0	0.557045167	28.886644	1	0.1	0.00715378810863416
"26"	13	1	0.034654316	19.634138	0	-0.034	-0.295286259910773
"27"	14	0	0.589756699	47.451802	0	0.026	-0.125817286237973
"28"	14	1	0.0681	21.5477301	0	-0.043	-0.200348378942652
"29"	15	0	2.163379936	38.514362	0	0.268	-0.00548763933532025
"30"	15	1	0.763060785	14.484244	1	-0.044	0.270545135737149
"31"	16	0	0.429427164	12.699287	1	0.078	0.167300642900459
"32"	16	1	0.090012386	13.306868	0	-0.032	-0.16550127768523
"33"	17	0	0.5392312	24.575305	1	0.288	0.0753959554834885
"34"	17	1	0.633434282	18.090755	1	0.036	0.147653651498431
"35"	18	0	1.402638723	58.678956	0	0.181	-0.086503541851815
"36"	18	1	0.307941266	35.102024	0	-0.019	-0.205473233710373
"37"	19	0	0.487826876	69.645044	0	0	-0.381826104551455
"38"	19	1	0.0317	16.7845859	0	-0.019	-0.250998648566708
"39"	20	0	3.134667439	13.59112	1	0.015	0.645983702205386
"40"	20	1	0.292	23.378121	1	0.068	0.0956184873510243
"41"	21	0	2.31458925	63.985443	0	0.062	-0.000985538070516428
"42"	21	1	0.0342	30.212169	0	0.023	-0.00133574702875063
"43"	22	0	0.075622108	6.474491	1	0.042	0.0972062630128558
"44"	22	1	0.153	23.3217564	0	0.014	-0.210933844761786
"45"	23	0	0.420271803	46.272547	0	0.003	-0.348878137764863
"46"	23	1	0.0973	11.08902	1	0.091	0.0181044425361805
"47"	24	0	0.673143202	18.233165	1	0.22	0.14298672678141
"48"	24	1	1.463765739	18.091716	1	0.075	0.558746436146799
"49"	25	0	2.911032527	34.981384	1	0.332	0.0104590170389703
"50"	25	1	0.026924295	13.112162	0	-0.031	-0.139426243331216
"51"	26	0	0.236816255	6.551695	1	-0.015	0.163758848616108
"52"	26	1	0.0942	11.381485	0	0.082	-0.0118738334166798
"53"	27	0	0.020830238	7.25699	0	0.016	-0.0682805067934399
"54"	27	1	0.0425	12.376565	1	0.002	0.0326513770280737
"55"	28	0	0.902140449	12.876445	1	0.083	0.343730652617818
"56"	28	1	0.287	4.782841	1	-0.026	0.160878500775067
"57"	29	0	0.538813008	45.590973	0	0.048	-0.152656429672565
"58"	29	1	0.0149	6.328422	0	-0.005	-0.0536775989431275
"59"	30	0	0.909632657	37.028481	1	0.319	0.0277788607509874
"60"	30	1	0.159	7.158641	1	-0.023	0.0803414240683482
"61"	31	0	1.289508913	82.926925	0	-0.132	-0.00482627043540366
"62"	31	1	0.577	44.0905328	0	0.053	-0.326770624983448
"63"	32	0	0.600974404	12.164638	1	0.264	0.182116554998454
"64"	32	1	0.313753269	23.650692	0	-0.082	-0.089462489380952
"65"	33	0	1.71441833	45.900994	0	0.086	-0.276280838751803
"66"	33	1	0.862946388	4.107909	1	0.371	0.469575156881056
"67"	34	0	0.437011649	18.727833	1	0.094	0.158742002024782
"68"	34	1	0.408414688	18.444244	1	-0.027	0.138023509325059
"69"	35	0	2.673736379	34.615199	0	0.385	-0.0746585907438978
"70"	35	1	0.157	29.180688	0	0.071	-0.0565033654514555
"71"	36	0	0.395777566	9.528459	1	-0.01	0.134683891114834
"72"	36	1	0.737	31.606656	0	-0.088	-0.0926323936153795
"73"	37	0	0.006887947	24.098967	0	0.006	-0.142522524220337
"74"	37	1	0.0895	28.648398	0	0.061	-0.319904753343977
"75"	38	0	0.027943906	15.949998	0	0.034	-0.00553120962518428
"76"	38	1	0.165	11.158163	1	0.011	0.0802693051616328
"77"	39	0	0.346830056	26.251402	1	0.233	0.0390896023867901
"78"	39	1	0.256036409	13.852491	1	0.092	0.160629819075987
"79"	40	0	0.656037966	58.813609	0	0.01	-0.00431181820936968
"80"	40	1	0.0875	22.6626831	0	-0.048	-0.202142705797524
"81"	41	0	0.697694642	37.270587	0	-0.035	-0.0169352122287296
"82"	41	1	0.092790051	24.059084	0	0.019	-0.00980103269206215
"83"	42	0	0.73535042	20.226779	1	0.219	0.196972992901729
"84"	42	1	0.014776153	18.635537	0	-0.028	-0.294454316720554
"85"	43	0	0.919266842	41.262132	0	0.179	-0.102220346442618
"86"	43	1	0.0567	27.494121	0	-0.052	-0.336527331400933
"87"	44	0	0.987908942	72.730443	0	0	-0.0938584979691896
"88"	44	1	0.1	22.113806	0	-0.058	-0.0638907049759058
"89"	45	0	0.201279785	17.456233	1	0.127	0.0571651405498714
"90"	45	1	0.095503913	1.474788	1	-0.015	0.107206315664168
"91"	46	0	1.888711499	55.994433	1	-0.16	0.253818427829401
"92"	46	1	0.084444487	13.178482	1	-0.021	0.0172665348389586
"93"	47	0	0.738311627	12.842521	1	0.339	0.320436152461825
"94"	47	1	0.101928704	11.326103	0	0.021	-0.102508549899845
"95"	48	0	0.498935915	39.057926	0	0.003	-0.0108831346192036
"96"	48	1	0.072	10.4566094	0	-0.071	-0.116643965189501
